km_driven,price_inr
20176,1785800
29112,1673500
192938,781400
201524,703600
221033,693000
99401,1196000
205563,742300
131264,952000
126733,1041200
246775,571000
9926,1811200
248926,662700
87824,1211300
43724,1518800
161842,899000
227460,638500
163398,824800
109447,1227900
60917,1432800
129364,992700
160122,921500
159785,984100
212516,715700
148906,1037000
30713,1672700
265428,615700
125648,951900
189717,783700
136400,1025500
76711,1250500
25668,1632800
166969,865000
196292,742200
73897,1379200
222843,694400
97085,1226400
196814,836800
283319,483100
91268,1233600
139726,1081300
159739,829300
182584,821500
44478,1502900
78797,1312800
213358,664400
297192,436500
12297,1897200
143652,906700
142448,953300
204767,779200
61804,1320300
127590,967600
299339,503600
176969,853900
38143,1588300
248409,638500
219064,660100
66171,1473500
164574,964500
263277,594200
286829,540200
76127,1292400
288216,544000
224743,597700
222518,630900
56915,1496800
151664,865300
22152,1728700
238148,596800
128791,1044200
197589,732500
290456,567100
36745,1576000
213739,677700
243402,745200
53063,1453100
16197,1734000
31517,1669400
71020,1326800
112586,1190300
113610,1143100
118220,1097400
82360,1255500
6486,1861800
73153,1490600
288228,512800
18516,1805000
74102,1430500
129744,1033700
174749,870900
71457,1364100
225704,582100
254690,573800
240025,634900
62175,1365200
241981,498700
27735,1690100
278390,510500
21331,1816900
36890,1713400
228490,654900
61603,1318900
43530,1570000
47357,1521200
71160,1387700
149187,888700
175490,782300
204703,788700
242877,614900
270054,533500
64985,1390500
294058,495000
241744,585700
124796,969500
214049,746400
223098,665700
168852,811600
138635,963000
253652,610300
40197,1607500
231427,659100
55627,1469800
73217,1300200
296698,612700
299483,537100
177829,795400
226740,615700
31972,1723500
189363,765300
59316,1414100
257806,563500
122568,1087700
296643,458400
197707,780500
123572,1082700
229978,727900
296891,383900
18764,1715100
145219,907000
20179,1792100
166996,932300
183165,781900
80105,1328900
215126,769200
21073,1785900
53107,1489300
225113,630600
242841,591100
175070,871000
49541,1538500
31089,1645000
47772,1520200
259626,648400
236758,603200
273617,561500
64673,1393100
260135,594300
281265,519700
212231,690400
33721,1684800
115747,1098300
76950,1327500
67906,1343200
9052,1808700
72730,1352600
204338,693000
297932,486600
190685,863500
27178,1741300
233704,753300
169133,866600
230068,581000
223991,633600
156789,911000
175272,836600
95111,1233200
194715,694400
51205,1482500
233419,651300
214951,645700
167673,851600
183002,816700
45044,1637000
272640,504600
106661,1099600
188173,708000
82432,1390100
128872,1060400
95963,1229300
85147,1276300
97875,1122200
264059,502400
240355,638000
174454,879100
84145,1224900
235562,685400
163765,897200
149008,897500
43897,1535200
167743,845400
198324,751400
155511,997200
52341,1542100
270849,500500
26507,1747300
240789,677200
103691,1126600
173572,789700
37439,1575800
241203,706600
185060,858700
49212,1488700
134889,999900
234511,700000
88228,1249100
195787,728100
219312,711500
182401,796300
180452,795700
39556,1564200
207670,773900
153974,914000
83838,1377400
179777,877300
188406,818100
167650,935000
210498,693400
72607,1255000
167310,794300
298036,430400
72000,1418500
280981,589900
271594,589400
194702,802900
117298,1093000
184166,851700
123773,1036300
77123,1346300
58026,1488600
271175,561400
281054,433600
24790,1664700
73707,1258200
202509,752200
91790,1257000
234466,685100
129534,1039400
237888,565900
240367,570000
127684,993500
250899,587500
106720,1063100
235999,724600
247053,616800
268667,468500
281540,500800
109699,1143100
77560,1331300
256967,570100
199622,721900
275485,531800
70367,1349000
148021,1023700
240572,646300
234361,623800
53084,1523700
241520,608800
188283,829300
212856,679800
268196,521000
47784,1565500
201562,744400
56948,1505100
180788,816300
155407,882800
252702,583100
250948,570700
240196,542600
14963,1734400
139177,986800
281704,554100
226907,691800
162889,904700
68883,1427500
244659,627800
37929,1691300
286046,587000
13616,1774700
80275,1254100
157710,837100
131124,1048500
223401,698800
279456,599700
194060,818100
270985,574600
271140,502200
251486,578500
27824,1599500
137985,880300
13515,1808100
131419,1032000
59349,1455400
179335,733900
74945,1397400
96797,1218600
248596,659000
100566,1172700
75701,1411800
244955,645000
24390,1717900
109579,1143600
26970,1682300
213784,738300
289704,496500
105193,1155700
155004,856600
179024,884000
148244,973900
214726,729800
235548,675400
102946,1135600
265153,545600
277250,491100
144838,980500
46380,1464700
230762,575100
290985,451700
159018,885200
160000,908400
165692,792000
92369,1254000
237735,621700
189842,788800
233034,621700
35072,1769600
44343,1532700
274004,497900
88879,1275100
234728,630500
23244,1757700
197061,778400
194871,711700
85445,1313200
240889,667900
45310,1534200
77191,1272800
151113,918200
135868,1007300
102542,1165500
266642,449200
66740,1380000
142246,978900
117496,1010000
154724,849400
109951,956800
69297,1387700
95521,1223500
238366,720000
172556,838600
187150,770500
157233,840300
162263,927700
96273,1141000
194526,735400
110371,1123500
77811,1323100
194213,820100
295466,448200
294221,476400
73037,1333500
167157,847400
213750,778600
280615,528400
220374,690300
43666,1469800
70707,1435900
240916,609700
249230,581200
294041,459800
100401,1183400
268645,528600
34052,1669300
164448,819300
91327,1295100
123211,1157200
186415,846200
153923,895800
46345,1541100
293799,572900
148891,967100
284696,550200
53983,1453200
85842,1266800
94758,1170000
182009,737800
26597,1708200
28835,1672900
143755,910200
223411,600900
20878,1682600
156871,903800
163384,786400
217909,696100
160941,813000
87879,1276700
235479,588300
183358,828200
80323,1271600
186073,863700
214042,730800
299466,526200
60670,1411400
145232,1004100
240717,622900
157154,924400
206405,756000
88728,1210300
176670,897600
104527,1124800
88541,1190500
266493,560200
166764,841000
211172,707200
269998,515900
190018,786200
30510,1724900
251723,612800
154814,817300
230930,626900
75220,1394800
216421,636600
196856,768500
299553,495400
107055,1116300
207558,749600
269375,492900
67291,1407900
72456,1402900
182778,794200
297464,572600
109363,1099000
271926,535700
25402,1721400
76846,1304100
277279,447800
244593,675200
78285,1400300
176948,863300
211021,689100
161884,832800
272236,513600
284099,457200
253980,593100
13722,1767200
223387,725400
166311,887800
18970,1693000
253821,582300
124298,1125000
31924,1631000
204329,713100
82477,1304600
62616,1387600
105025,1197400
84393,1281400
221510,657000
252257,545400
37653,1593700
299066,433600
175419,886300
202564,733500
169496,905400
284512,505600
184477,724000
143601,939100
258849,590700
297598,529700
161499,905000
161035,1018400
156521,883000
261378,497800
171220,781700
148370,947500
155884,961300
204069,781400
211848,756600
81795,1179600
157280,1021600
46434,1573300
186594,853200
256175,550100
117190,1107100
299659,550000
147407,988600
130452,1074500
132117,1117000
123316,1091300
127073,1087400
252675,608900
57714,1444800
293543,477700
87806,1157700
254403,652500
255320,536600
155599,840200
173384,833100
51903,1516100
126750,962000
24555,1702900
96784,1118400
24052,1771900
213139,708400
156764,872200
24643,1784400
61256,1434600
180658,777400
289845,656500
279893,412100
269352,557600
250377,584900
178373,908200
90193,1232000
102621,1096100
12384,1822900
106272,1059300
97009,1145400
217593,641600
229239,632500
55009,1474000
101878,1228600
135048,993500
8580,1863700
144981,991000
177818,794600
10995,1919200
